,ggd_regio,b,se,t,pvalue,ll,ul,model,uitkomstmaat,type_uitkomstmaat
0,GGD Groningen,2200.809,7474382.0,29.44,0.0,2054.313,2347.304,1,TotaleZorgkosten,Kosten
1,GGD Fryslân,2286.235,7829961.0,29.2,0.0,2132.77,2439.7,1,TotaleZorgkosten,Kosten
2,GGD Drenthe,2308.475,1159627.0,19.91,0.0,2081.192,2535.759,1,TotaleZorgkosten,Kosten
3,GGD IJsselland,2271.218,8129178.0,27.94,0.0,2111.888,2430.548,1,TotaleZorgkosten,Kosten
4,GGD Regio Twente,2415.586,1265318.0,19.09,0.0,2167.587,2663.584,1,TotaleZorgkosten,Kosten
5,GGD Noord- en Oost-Gelderland,2273.445,5972903.0,38.06,0.0,2156.378,2390.513,1,TotaleZorgkosten,Kosten
6,Veiligheids- en Gezondheidsregio Gelderland-Midden,2229.307,8172332.0,27.28,0.0,2069.131,2389.482,1,TotaleZorgkosten,Kosten
7,GGD Gelderland-Zuid,2355.923,1103147.0,21.36,0.0,2139.71,2572.137,1,TotaleZorgkosten,Kosten
8,GGD Regio Utrecht,2133.688,5043933.0,42.3,0.0,2034.828,2232.548,1,TotaleZorgkosten,Kosten
9,GGD Hollands-Noorden,2091.365,614134.0,34.05,0.0,1970.997,2211.734,1,TotaleZorgkosten,Kosten
10,GGD Zaanstreek/Waterland,2333.326,7014914.0,33.26,0.0,2195.836,2470.816,1,TotaleZorgkosten,Kosten
11,GGD Kennemerland,2211.296,6873218.0,32.17,0.0,2076.582,2346.009,1,TotaleZorgkosten,Kosten
12,GGD Amsterdam,2326.613,9646747.0,24.12,0.0,2137.539,2515.686,1,TotaleZorgkosten,Kosten
13,GGD Gooi en Vechtstreek,2310.381,1069081.0,21.61,0.0,2100.845,2519.918,1,TotaleZorgkosten,Kosten
14,GGD Haaglanden,2423.46,7994738.0,30.31,0.0,2266.766,2580.155,1,TotaleZorgkosten,Kosten
15,GGD Hollands-Midden,2176.896,6043286.0,36.02,0.0,2058.449,2295.342,1,TotaleZorgkosten,Kosten
16,GGD Rotterdam-Rijnmond,2431.591,6328044.0,38.43,0.0,2307.563,2555.619,1,TotaleZorgkosten,Kosten
17,Dienst Gezondheid & Jeugd ZHZ,2102.92,7809236.0,26.93,0.0,1949.862,2255.979,1,TotaleZorgkosten,Kosten
18,GGD Zeeland,2462.899,8657435.0,28.45,0.0,2293.216,2632.582,1,TotaleZorgkosten,Kosten
19,GGD West-Brabant,2396.331,7504632.0,31.93,0.0,2249.242,2543.419,1,TotaleZorgkosten,Kosten
20,GGD Hart voor Brabant,2290.382,1117566.0,20.49,0.0,2071.342,2509.422,1,TotaleZorgkosten,Kosten
21,GGD Brabant-Zuidoost,2351.282,6396553.0,36.76,0.0,2225.911,2476.653,1,TotaleZorgkosten,Kosten
22,GGD Limburg-Noord,2522.562,8885257.0,28.39,0.0,2348.413,2696.71,1,TotaleZorgkosten,Kosten
23,GGD Zuid-Limburg,2705.002,5720915.0,47.28,0.0,2592.874,2817.13,1,TotaleZorgkosten,Kosten
24,GGD Flevoland,2101.431,1155139.0,18.19,0.0,1875.027,2327.835,1,TotaleZorgkosten,Kosten
25,GGD Groningen,41.5951,0.7328451,56.76,0.0,40.15874,43.03145,1,nopzvwkhuisartsconsult,Kosten
26,GGD Fryslân,39.47655,0.6469666,61.02,0.0,38.20851,40.74458,1,nopzvwkhuisartsconsult,Kosten
27,GGD Drenthe,42.6446,0.9844413,43.32,0.0,40.71512,44.57408,1,nopzvwkhuisartsconsult,Kosten
28,GGD IJsselland,36.98262,0.8191942,45.15,0.0,35.37702,38.58822,1,nopzvwkhuisartsconsult,Kosten
29,GGD Regio Twente,35.50164,0.6052015,58.66,0.0,34.31546,36.68781,1,nopzvwkhuisartsconsult,Kosten
30,GGD Noord- en Oost-Gelderland,38.23582,0.5577846,68.55,0.0,37.14258,39.32906,1,nopzvwkhuisartsconsult,Kosten
31,Veiligheids- en Gezondheidsregio Gelderland-Midden,41.07517,0.8997014,45.65,0.0,39.31178,42.83856,1,nopzvwkhuisartsconsult,Kosten
32,GGD Gelderland-Zuid,42.31692,0.6836428,61.9,0.0,40.977,43.65684,1,nopzvwkhuisartsconsult,Kosten
